,,,,,,,,,,,,,,,,,,,
P,r,i,n,c,i,p,a,l, ,C,o,m,p,o,n,e,n,t,s
1.4356e-05 0.00018979
-3.589e-06 -4.7448e-05
1.4356e-05 0.00018979
1.4356e-05 0.00018979
1.4356e-05 0.00018979
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
6.2656e-05 1.5421e-05
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
6.445e-05 3.9145e-05
6.2656e-05 1.5421e-05
6.2656e-05 1.5421e-05
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
-5.0094e-05 0.00015065
6.445e-05 3.9145e-05
-3.589e-06 -4.7448e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-3.589e-06 -4.7448e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0 -0
0 -0
0 -0
-4.83e-05 0.00017437
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0.031835 -0.025412
0.029391 -0.030088
0.027715 -0.03355
0.026089 -0.036348
0.024708 -0.038341
0.023819 -0.039538
0.02217 -0.041015
0.021001 -0.041838
0.019778 -0.043373
0.018816 -0.044704
0.017885 -0.045631
0.016496 -0.046928
0.015543 -0.04814
0.014675 -0.049052
0.014684 -0.048934
0.014573 -0.048775
0.014553 -0.049036
0.014474 -0.049265
0.014111 -0.049191
0.013415 -0.049456
0.012804 -0.049396
0.012278 -0.049037
0.0112 -0.04865
0.010488 -0.048313
0.010091 -0.047061
0.010106 -0.044426
0.010475 -0.041169
0.010945 -0.037398
0.011683 -0.032513
0.011945 -0.02742
0.011964 -0.022293
0.011475 -0.017385
0.010874 -0.011502
0.010487 -0.0060566
0.01028 0.00015543
0.0098304 0.0055858
0.0093625 0.011594
0.0089072 0.017768
0.0080688 0.023755
0.006801 0.031382
0.004685 0.039988
0.0028263 0.046305
0.00055885 0.049659
-0.0017802 0.052878
-0.0043932 0.055727
-0.0069295 0.057152
-0.0087806 0.056254
-0.0097674 0.053776
-0.010561 0.051415
-0.010825 0.047928
-0.010813 0.044834
-0.010709 0.042136
-0.010346 0.039618
-0.009953 0.037503
-0.0092233 0.034143
-0.0086491 0.03198
-0.0078924 0.028976
-0.0072197 0.027303
-0.006443 0.02619
-0.0059853 0.023299
-0.0054737 0.02112
-0.0049496 0.019107
-0.0045203 0.017467
-0.0040766 0.016016
-0.003683 0.014716
-0.0032912 0.013392
-0.0029013 0.012045
-0.0025793 0.01061
-0.0022466 0.0093187
-0.0019247 0.0078846
-0.0017173 0.006562
-0.0014418 0.005326
-0.0012163 0.0050555
-0.00097302 0.0042074
-0.00087462 0.0038824
-0.00072598 0.0042216
-0.00062026 0.0048064
-0.00035872 0.0058254
-0.00011332 0.0066308
0.00011951 0.0072702
3.2032e-05 0.0085524
-0.00025433 0.0088312
-0.00059976 0.009142
-0.0012299 0.0089403
-0.0018581 0.0095773
-0.0016597 0.0081361
-0.0013646 0.0063461
-0.00098722 0.0048325
-0.00052935 0.0027567
-0.00039522 0.0020913
-0.00024314 0.001663
-0.0001591 0.0011482
-0.00010542 0.001045
-3.4366e-06 0.00076746
1.5247e-07 0.00081491
5.2041e-05 0.00068799
-1.2409e-05 0.00064885
-8.8201e-06 0.00069629
-7.327e-05 0.00065715
4.3069e-05 0.00056937
-2.1382e-05 0.00053023
2.5123e-05 0.00033213
-3.9327e-05 0.00029299
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
-3.5738e-05 0.00034044
-3.7532e-05 0.00031671
1.4356e-05 0.00018979
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.2562e-05 0.00016607
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
1.4356e-05 0.00018979
1.4356e-05 0.00018979
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
6.6245e-05 6.2868e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.1889e-05 0.00012692
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
0 -0
0 -0
-4.83e-05 0.00017437
0 -0
0 -0
-4.83e-05 0.00017437
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0 -0
0 -0
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
0 -0
0.031835 -0.025412
0.028754 -0.030384
0.026014 -0.0349
0.023403 -0.038523
0.021523 -0.04143
0.019686 -0.042953
0.018571 -0.043879
0.017105 -0.045381
0.016061 -0.046174
0.01516 -0.046698
0.014983 -0.046602
0.014169 -0.047617
0.013705 -0.048872
0.014066 -0.048969
0.014249 -0.048994
0.014526 -0.049392
0.014148 -0.050323
0.013615 -0.050873
0.013362 -0.051774
0.013129 -0.052413
0.012854 -0.052807
0.013076 -0.05231
0.013142 -0.051432
0.01349 -0.050089
0.013818 -0.048192
0.014026 -0.045441
0.014474 -0.041954
0.014709 -0.038032
0.015193 -0.034071
0.015647 -0.028884
0.016389 -0.023951
0.016864 -0.01848
0.016894 -0.013211
0.016956 -0.0083294
0.016515 -0.0027804
0.015465 0.0020367
0.014422 0.0069488
0.013455 0.012042
0.011659 0.018375
0.0093042 0.025456
0.0067693 0.034214
0.0030745 0.043084
-0.00040581 0.050725
-0.0037469 0.056142
-0.0060627 0.058855
-0.0081927 0.059961
-0.01004 0.059925
-0.011285 0.057291
-0.011765 0.052562
-0.011401 0.046808
-0.01099 0.041671
-0.010232 0.037061
-0.0092737 0.032664
-0.0086782 0.029155
-0.008138 0.027356
-0.0074849 0.025421
-0.0067495 0.023763
-0.0061556 0.02186
-0.0055992 0.020274
-0.0051162 0.018531
-0.0046653 0.017175
-0.0040105 0.015264
-0.0034219 0.01329
-0.002837 0.011269
-0.0021875 0.0092867
-0.0015882 0.0074552
-0.0012018 0.0060602
-0.00084935 0.0050294
-0.00050766 0.0038563
-0.00019633 0.0030948
9.8851e-05 0.0021197
0.0002599 0.0018101
0.00043172 0.0016429
0.00051411 0.0019193
0.00083113 0.0028587
0.0012252 0.0040034
0.0016693 0.0049974
0.0019272 0.0059689
0.0014172 0.0065418
0.00051697 0.0076474
-0.00017044 0.0075015
-0.00086325 0.0072844
-0.0013733 0.0078573
-0.0012857 0.00739
-0.0005899 0.0043948
-0.00016418 0.0027069
-0.00019289 0.0023273
-0.0002717 0.0020984
-0.00023596 0.0017579
-0.00015372 0.0012194
-5.1736e-05 0.00094183
-4.8147e-05 0.00098928
-6.2503e-05 0.00079949
-1.2409e-05 0.00064885
-2.856e-05 0.00043533
-2.4971e-05 0.00048278
-8.9421e-05 0.00044363
-2.3176e-05 0.0005065
-4.1122e-05 0.00026926
-2.3176e-05 0.0005065
-3.9327e-05 0.00029299
-3.9327e-05 0.00029299
-3.7532e-05 0.00031671
-3.7532e-05 0.00031671
1.0767e-05 0.00014234
-3.7532e-05 0.00031671
-3.5738e-05 0.00034044
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
1.4356e-05 0.00018979
1.2562e-05 0.00016607
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
6.2656e-05 1.5421e-05
1.2562e-05 0.00016607
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
6.2656e-05 1.5421e-05
-5.0094e-05 0.00015065
6.445e-05 3.9145e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
1.6151e-05 0.00021351
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-5.0094e-05 0.00015065
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-4.83e-05 0.00017437
0 -0
1.7945e-05 0.00023724
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
0 -0
0 -0
0.031835 -0.025412
0.028262 -0.030389
0.025067 -0.035226
0.022351 -0.038619
0.020115 -0.041358
0.01807 -0.043188
0.016795 -0.043781
0.016344 -0.044055
0.015445 -0.044556
0.014677 -0.044954
0.013993 -0.045868
0.01375 -0.046649
0.013719 -0.047867
0.013628 -0.048262
0.013234 -0.048592
0.01303 -0.048852
0.012849 -0.048803
0.013259 -0.049075
0.013771 -0.049624
0.013547 -0.050145
0.013765 -0.049695
0.014217 -0.048606
0.014509 -0.047999
0.014475 -0.047635
0.014707 -0.046996
0.015137 -0.045376
0.015208 -0.043636
0.01541 -0.040956
0.015807 -0.037342
0.015915 -0.033474
0.016112 -0.029235
0.015791 -0.025356
0.01582 -0.020902
0.016255 -0.015976
0.016737 -0.0095938
0.016271 -0.0035621
0.015918 0.0031494
0.014881 0.010577
0.013031 0.017014
0.0097228 0.023673
0.0055872 0.03078
0.0017578 0.03787
-0.0025961 0.045343
-0.0062433 0.050778
-0.0092681 0.053061
-0.011303 0.052979
-0.013147 0.052991
-0.013887 0.052157
-0.014274 0.051107
-0.013875 0.048248
-0.013435 0.045935
-0.012555 0.042124
-0.011655 0.038574
-0.010637 0.034959
-0.0095262 0.031764
-0.0086657 0.029321
-0.0079321 0.027639
-0.0070822 0.025055
-0.0061269 0.02224
-0.0052431 0.019291
-0.0041983 0.016033
-0.0034327 0.013148
-0.002633 0.010714
-0.0019568 0.0082725
-0.0014255 0.0063544
-0.00090841 0.0050615
-0.00064733 0.0036357
-0.00040942 0.0027164
-0.00016972 0.0018208
4.681e-05 0.0014317
0.00027052 0.0011376
0.00031702 0.00093946
0.00055344 0.0016263
0.0009545 0.0020509
0.0014184 0.0033059
0.001542 0.0041279
0.0012485 0.0043118
0.00051652 0.0052026
-0.00020843 0.0053734
-0.00055401 0.0048693
-0.00067917 0.0056534
-0.00076875 0.0052821
-0.00037712 0.0031434
-4.7995e-05 0.0018042
-0.00015536 0.0020106
-0.00029862 0.0017425
-0.00021637 0.001204
-0.00011619 0.00090269
-0.0001126 0.00095014
-0.00013054 0.0007129
-7.8654e-05 0.00058598
-0.0001431 0.00054683
-9.4805e-05 0.00037246
-9.1216e-05 0.00041991
-9.1216e-05 0.00041991
-4.2916e-05 0.00024554
-4.1122e-05 0.00026926
-4.1122e-05 0.00026926
-4.1122e-05 0.00026926
-4.1122e-05 0.00026926
-3.9327e-05 0.00029299
-3.9327e-05 0.00029299
-3.9327e-05 0.00029299
-3.9327e-05 0.00029299
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.0767e-05 0.00014234
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-5.3836e-06 -7.1171e-05
1.4356e-05 0.00018979
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.0094e-05 0.00015065
-3.589e-06 -4.7448e-05
-5.0094e-05 0.00015065
1.6151e-05 0.00021351
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
6.6245e-05 6.2868e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
0 -0
0 -0
-4.83e-05 0.00017437
-4.83e-05 0.00017437
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0 -0
0 -0
0 -0
0 -0
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
0.031835 -0.025412
0.028516 -0.029465
0.024861 -0.03388
0.02214 -0.037344
0.020135 -0.039467
0.018246 -0.040863
0.017111 -0.041235
0.016268 -0.041816
0.016033 -0.041664
0.01604 -0.041569
0.015466 -0.04185
0.0151 -0.042615
0.0144 -0.043742
0.013566 -0.044203
0.013061 -0.044374
0.012979 -0.044651
0.012379 -0.045264
0.012247 -0.044575
0.012921 -0.044595
0.013478 -0.044551
0.014214 -0.044579
0.014756 -0.044725
0.01568 -0.044707
0.016493 -0.044531
0.017221 -0.043839
0.017588 -0.04305
0.018088 -0.042136
0.018464 -0.040413
0.018769 -0.03801
0.018648 -0.035549
0.018484 -0.032027
0.018474 -0.02728
0.018289 -0.021598
0.017679 -0.015834
0.016521 -0.0092048
0.014565 -0.0033533
0.012071 0.0035064
0.0092818 0.010526
0.0056688 0.017227
0.002308 0.022383
-0.00094527 0.028148
-0.0043456 0.032783
-0.0070963 0.03625
-0.009083 0.037624
-0.010413 0.037925
-0.011349 0.037741
-0.011543 0.037624
-0.011569 0.037268
-0.011181 0.035896
-0.010485 0.033716
-0.0096697 0.030681
-0.0085837 0.027153
-0.0076499 0.024054
-0.0068574 0.021525
-0.0063099 0.01982
-0.0056551 0.017909
-0.0049626 0.016496
-0.0042505 0.01453
-0.0035438 0.012492
-0.003 0.01074
-0.0024114 0.0087659
-0.0017923 0.0071954
-0.0013397 0.0058633
-0.00095687 0.0044209
-0.0006563 0.0035171
-0.0001893 0.0023748
-3.7228e-05 0.0019465
0.00010947 0.0014472
0.00021324 0.0011933
0.00027769 0.0012325
0.00062327 0.0017366
0.0010906 0.0022241
0.0013681 0.0026417
0.0008579 0.0023997
0.00019201 0.0025384
-0.00063313 0.0030105
-0.0010125 0.0036855
-0.001177 0.0047625
-0.0011071 0.0048729
-0.00063133 0.0030343
-4.2764e-05 0.0010605
6.1014e-05 0.00080661
-1.4204e-05 0.00062512
-7.327e-05 0.00065715
-0.00013593 0.00064173
-8.4038e-05 0.00051481
-8.0449e-05 0.00056225
-7.8654e-05 0.00058598
-3.0354e-05 0.00041161
-9.4805e-05 0.00037246
1.7945e-05 0.00023724
-9.4805e-05 0.00037246
-4.2916e-05 0.00024554
-4.2916e-05 0.00024554
-4.2916e-05 0.00024554
-4.1122e-05 0.00026926
-4.1122e-05 0.00026926
-4.2916e-05 0.00024554
-4.1122e-05 0.00026926
-3.9327e-05 0.00029299
-3.9327e-05 0.00029299
1.0767e-05 0.00014234
8.9726e-06 0.00011862
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
-5.5478e-05 7.9475e-05
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-3.589e-06 -4.7448e-05
1.4356e-05 0.00018979
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.3683e-05 0.0001032
-5.1889e-05 0.00012692
1.6151e-05 0.00021351
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-5.1889e-05 0.00012692
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
6.445e-05 3.9145e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
1.6151e-05 0.00021351
-5.0094e-05 0.00015065
6.445e-05 3.9145e-05
0 -0
-1.7945e-06 -2.3724e-05
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
0 -0
0 -0
0 -0
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
6.6245e-05 6.2868e-05
0 -0
0 -0
0 -0
-4.83e-05 0.00017437
0 -0
-4.83e-05 0.00017437
0 -0
0 -0
0 -0
0.031835 -0.025412
0.028373 -0.028918
0.02496 -0.032575
0.022506 -0.034949
0.020815 -0.036156
0.01936 -0.036701
0.018481 -0.03694
0.017874 -0.036834
0.017266 -0.03675
0.017121 -0.036227
0.016979 -0.035657
0.016561 -0.035504
0.016299 -0.035708
0.015952 -0.035421
0.016 -0.03478
0.016541 -0.03332
0.016962 -0.032634
0.017449 -0.031886
0.018262 -0.031709
0.01887 -0.031792
0.019345 -0.03284
0.020274 -0.032751
0.020322 -0.03374
0.02013 -0.034649
0.019983 -0.035779
0.019734 -0.036632
0.019228 -0.036826
0.01873 -0.036087
0.018086 -0.034849
0.017386 -0.033531
0.016309 -0.029885
0.014157 -0.025828
0.011207 -0.02092
0.0083279 -0.016716
0.0048579 -0.011377
0.0012969 -0.0048029
-0.0021638 0.0022846
-0.0052503 0.0094409
-0.0083904 0.017515
-0.011298 0.026229
-0.013657 0.034053
-0.014691 0.038269
-0.01497 0.040272
-0.014843 0.041142
-0.014641 0.041378
-0.014019 0.040646
-0.01335 0.038925
-0.012162 0.035934
-0.010887 0.032477
-0.0096252 0.028829
-0.0084964 0.025056
-0.0064149 0.02331
-0.0065104 0.019608
-0.0058414 0.017072
-0.0049613 0.014075
-0.0041257 0.012116
-0.0034136 0.010149
-0.0028392 0.0088003
-0.0022219 0.0072061
-0.0017156 0.0057708
-0.0012594 0.0044862
-0.00080315 0.0032015
-0.00049361 0.0024163
-0.00014116 0.0013855
6.6397e-05 0.00087778
0.00022027 0.00047329
0.0003384 0.00040924
0.00052816 0.00047922
0.00089333 0.0004294
0.0013247 0.00044245
0.0012388 0.00011862
0.00047971 -0.00016132
-7.1628e-05 -0.00013404
-0.00080361 0.00075679
-0.0010611 0.00223
-0.00087119 0.0031149
-0.00082274 0.0037555
-0.00088539 0.0037401
-0.00051514 0.0021316
-0.00032554 0.0013867
-0.00037922 0.0014899
-0.00022355 0.0011091
-0.00018961 0.00074493
-0.00013772 0.000618
-0.00013413 0.00066545
-8.2243e-05 0.00053853
-0.0001449 0.00052311
-9.6599e-05 0.00034874
-9.6599e-05 0.00034874
-9.4805e-05 0.00037246
-4.6505e-05 0.00019809
-4.6505e-05 0.00019809
-4.4711e-05 0.00022182
-4.2916e-05 0.00024554
-4.1122e-05 0.00026926
-4.1122e-05 0.00026926
7.1781e-06 9.4895e-05
7.1781e-06 9.4895e-05
7.1781e-06 9.4895e-05
8.9726e-06 0.00011862
-3.9327e-05 0.00029299
8.9726e-06 0.00011862
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
1.0767e-05 0.00014234
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
-5.3683e-05 0.0001032
1.2562e-05 0.00016607
-3.589e-06 -4.7448e-05
-5.1889e-05 0.00012692
1.6151e-05 0.00021351
6.2656e-05 1.5421e-05
1.4356e-05 0.00018979
-5.1889e-05 0.00012692
1.6151e-05 0.00021351
-3.589e-06 -4.7448e-05
6.2656e-05 1.5421e-05
-5.0094e-05 0.00015065
-5.1889e-05 0.00012692
-3.589e-06 -4.7448e-05
6.2656e-05 1.5421e-05
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
-3.589e-06 -4.7448e-05
6.2656e-05 1.5421e-05
1.6151e-05 0.00021351
-5.0094e-05 0.00015065
-5.0094e-05 0.00015065
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
1.6151e-05 0.00021351
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
0 -0
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
6.445e-05 3.9145e-05
6.445e-05 3.9145e-05
6.445e-05 3.9145e-05
0 -0
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
-1.7945e-06 -2.3724e-05
